timestamp,latitude,longtitude,depth_km,MD,ML,Mw,place,location
2022.12.24 21:33:59,38.3593,27.2252,5.6,,1.9,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.24 20:38:53,38.2760,24.2355,81.1,,2.4,,EGE DENIZI,EGE DENIZI
2022.12.24 19:27:41,38.2108,38.7445,5.5,,2.0,,PAZARCIK-PUTURGE (MALATYA),MALATYA
2022.12.24 18:53:05,37.5550,38.5383,5.8,,2.9,,KOVANOLUK-SAMSAT (ADIYAMAN),ADIYAMAN
2022.12.24 15:30:38,35.9053,31.2547,11.5,,2.7,,AKDENIZ,AKDENIZ
2022.12.24 15:24:51,35.7995,29.5497,27.3,,2.3,,AKDENIZ,AKDENIZ
2022.12.24 14:29:14,40.3547,27.3873,6.9,,1.8,,BOZLAR-BIGA (CANAKKALE),CANAKKALE
2022.12.24 14:28:28,37.1933,28.3325,11.8,,1.2,,AKKAYA-(MUGLA),MUGLA
2022.12.24 13:15:07,36.6707,28.1825,63.4,,1.9,,BOZBURUN ACIKLARI-MUGLA (AKDENIZ),AKDENIZ
2022.12.24 12:36:19,39.8723,28.8292,0.0,,2.0,,ALTINTAS-ORHANELI (BURSA),BURSA
2022.12.24 12:01:52,40.5110,29.2915,0.0,,1.2,,ORHANGAZI (BURSA),BURSA
2022.12.24 10:35:43,38.6235,45.0332,5.0,,3.6,,IRAN,IRAN
2022.12.24 09:27:33,38.3708,27.2683,9.8,,1.4,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.24 08:50:30,38.3668,27.2645,5.4,,1.6,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.24 08:49:17,40.9483,31.9958,0.0,,1.0,,BOLUKOREN-MENGEN (BOLU),BOLU
2022.12.24 08:33:47,38.3178,27.2232,9.2,,1.6,,BELENBASI-BUCA (IZMIR),IZMIR
2022.12.24 07:28:25,38.3570,26.6278,5.0,,2.4,,BARBAROS-URLA (IZMIR),IZMIR
2022.12.24 06:59:46,37.2245,28.5350,5.1,,1.4,,OZLUCE-(MUGLA),MUGLA
2022.12.24 06:56:47,37.8188,27.1372,29.2,,0.6,,KUSADASI KORFEZI (EGE DENIZI),EGE DENIZI
2022.12.24 06:45:45,37.3947,37.1350,12.1,,1.4,,NARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.24 06:43:44,40.5123,37.1027,1.4,,1.6,,SARIAGIL-BASCIFTLIK (TOKAT),TOKAT
2022.12.24 06:11:21,40.5748,27.6327,13.6,,2.2,,GUNDOGDU-MARMARA (BALIKESIR),BALIKESIR
2022.12.24 05:56:17,37.7018,27.6147,15.0,,1.1,,KIZILKAYA-KOCARLI (AYDIN),AYDIN
2022.12.24 05:23:51,37.4313,37.1598,7.2,,2.5,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.24 05:11:59,38.7318,43.1748,3.8,,1.9,,VAN GOLU,VAN GOLU
2022.12.24 05:05:14,37.4525,37.2150,5.4,,1.2,,BOLUKCAM-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.24 04:44:28,37.1315,28.5740,11.4,,1.9,,ARICILAR-ULA (MUGLA),MUGLA
2022.12.24 04:24:09,38.2643,26.6488,16.0,,1.4,,YAGCILAR-URLA (IZMIR),IZMIR
2022.12.24 03:39:13,38.6212,27.9382,6.9,,1.5,,HACIVELILER-GOLMARMARA (MANISA),MANISA
2022.12.24 03:35:58,40.1863,31.7227,6.4,,2.0,,SEKLI-BEYPAZARI (ANKARA),ANKARA
2022.12.24 03:29:54,40.8068,31.6585,5.0,,1.7,,CUKUROREN-(BOLU),BOLU
2022.12.24 03:13:44,38.1813,30.9507,6.9,,2.2,,KOKE-GELENDOST (ISPARTA),ISPARTA
2022.12.24 01:23:12,40.7738,30.9670,12.5,,1.4,,YESILOVA-GOLYAKA (DUZCE),DUZCE
2022.12.24 01:21:11,40.7795,30.9648,7.7,,2.5,,YAZLIK-GOLYAKA (DUZCE),DUZCE
2022.12.24 01:14:58,38.2422,38.7982,5.0,,3.3,3.3,ORMANICI-PUTURGE (MALATYA),MALATYA
2022.12.24 00:46:45,37.4050,37.1353,10.3,,1.3,,NARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.24 00:28:40,34.8005,33.1218,5.0,,1.9,,KIBRIS RUM KESIMI,KIBRIS RUM KESIMI
2022.12.23 23:50:04,40.7887,31.3917,9.2,,2.5,,DARIYERIBAKACAK-KAYNASLI (DUZCE),DUZCE
2022.12.23 23:48:40,37.0735,28.3920,18.2,,0.9,,KIZILAGAC-ULA (MUGLA),MUGLA
2022.12.23 23:46:54,36.9273,27.8967,5.4,,1.3,,GOKOVA KORFEZI (AKDENIZ),AKDENIZ
2022.12.23 23:39:28,39.9765,39.6007,5.4,,2.3,,ESKIYOL-KELKIT (GUMUSHANE),GUMUSHANE
2022.12.23 23:37:20,39.5310,28.0528,1.5,,1.3,,ESENLI-BIGADIC (BALIKESIR),BALIKESIR
2022.12.23 23:32:27,37.4195,37.1420,8.9,,1.4,,DOGANLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 23:31:41,37.4407,37.1590,5.3,,1.3,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 23:23:31,36.1503,27.1062,4.9,,1.9,,AKDENIZ,AKDENIZ
2022.12.23 23:05:57,40.7820,30.9783,9.1,,1.5,,YAZLIK-GOLYAKA (DUZCE),DUZCE
2022.12.23 23:01:20,37.4303,37.1670,9.0,,1.5,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 22:58:35,37.2235,28.2010,4.0,,1.4,,PASAPINARI-(MUGLA),MUGLA
2022.12.23 22:56:21,40.7578,30.9502,11.0,,1.2,,AKSU-GOLYAKA (DUZCE),DUZCE
2022.12.23 22:55:03,40.7958,30.9993,9.3,,1.6,,GOLYAKA (DUZCE),DUZCE
2022.12.23 22:54:16,40.7990,31.0238,8.0,,1.5,,ICMELER-GOLYAKA (DUZCE),DUZCE
2022.12.23 22:51:54,37.0800,28.1583,8.9,,1.2,,SARNICKOY-(MUGLA),MUGLA
2022.12.23 22:47:55,39.9300,41.9980,9.0,,1.9,,AGCASAR-KOPRUKOY (ERZURUM),ERZURUM
2022.12.23 22:45:02,37.0578,28.3593,9.0,,1.7,,GOKOVA-ULA (MUGLA),MUGLA
2022.12.23 22:42:41,39.2032,41.7312,22.7,,1.7,,AKGELIN-HINIS (ERZURUM),ERZURUM
2022.12.23 22:35:45,37.3300,29.3142,2.7,,1.0,,OREN-ACIPAYAM (DENIZLI),DENIZLI
2022.12.23 22:29:59,39.3660,28.1688,5.6,,1.3,,KARGIN-BIGADIC (BALIKESIR),BALIKESIR
2022.12.23 22:29:07,36.9585,27.3360,5.2,,1.8,,GOKOVA KORFEZI (AKDENIZ),AKDENIZ
2022.12.23 22:15:23,37.8637,29.7887,13.7,,1.2,,SARIKAVAK-DAZKIRI (AFYONKARAHISAR),AFYONKARAHISAR
2022.12.23 22:04:01,37.4448,37.1653,5.8,,1.8,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 21:56:05,38.3442,27.2385,5.4,,1.6,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.23 21:55:17,37.4410,37.1563,7.3,,1.8,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 21:39:28,37.4588,37.1590,9.3,,1.1,,DOGANLIKARAHASAN-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.23 21:21:57,38.3817,27.2533,5.0,,1.2,,GOKDERE-BORNOVA (IZMIR),IZMIR
